Body_Name,Body,Payment Date,Transaction Number,Department,Supplier Name,Supplier Post Code,Expenditure Category,Net Amount
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20151209,P-Card,C-Commercial and Operations,KARCHER UK,UNKNOWN,401-Operational Equipment,161.9800000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20151214,P-Card,F-C & A - Central,VISTAPR VISTAPRINT.UK,NE11 0EL,425-Printing,-18.2800000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20151217,P-Card,C-Commercial and Operations,BUNZL CLEANING SUPPLIE,SL3 8XP,404-Cleaning & Domestic Supp,787.6600000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20151222,P-Card,C-Commercial and Operations,BUNZL CLEANING SUPPLIE,SL3 8XP,404-Cleaning & Domestic Supp,273.0800000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20151222,P-Card,C-Commercial and Operations,BUNZL CLEANING SUPPLIE,SL3 8XP,404-Cleaning & Domestic Supp,49.1300000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20151222,P-Card,C-Commercial and Operations,BUNZL CLEANING SUPPLIE,SL3 8XP,404-Cleaning & Domestic Supp,269.4700000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20151222,P-Card,C-Commercial and Operations,BUNZL CLEANING SUPPLIE,SL3 8XP,404-Cleaning & Domestic Supp,269.4700000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20151222,P-Card,C-Commercial and Operations,BUNZL CLEANING SUPPLIE,SL3 8XP,404-Cleaning & Domestic Supp,208.7000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20151222,P-Card,C-Commercial and Operations,BUNZL CLEANING SUPPLIE,SL3 8XP,404-Cleaning & Domestic Supp,49.1300000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20151222,P-Card,C-Commercial and Operations,BUNZL CLEANING SUPPLIE,SL3 8XP,408-Materials General,201.1200000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20151222,P-Card,C-Commercial and Operations,BUNZL CLEANING SUPPLIE,SL3 8XP,408-Materials General,201.1200000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20151222,P-Card,C-Commercial and Operations,BUNZL CLEANING SUPPLIE,SL3 8XP,408-Materials General,106.3400000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20151231,CHAPS,C-Commercial and Operations,SSE ENERGY SUPPLY LTD,,408-Materials General,140423.5700000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588636,C-Commercial and Operations,A1 LOCKSMITHS LTD,NG5 1LA,401-Operational Equipment,385.0000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588637,C-Commercial and Operations,A2B CARS (NOTTINGHAM) LTD,M32 8AF,311-Contract Hire,924.0000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588638,Z-Capital,ABBACAS CONSULTING LTD,NG8 6PE,9NP-Grants Paid,62.0000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588640,F-C & A - Central,ACADEMY DAY NURSERY (NOTTINGHAM) LTD,NG5 8SA,450-Grants,292.8000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588641,N-Development & Growth - Services,ACHIEVE CAREER,NG3 6EJ,121-Training Course Fees,2000.0000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588642,Z-Capital,ADAM SMITH CONSTRUCTION LIMITED,NG8 2NJ,9NP-Grants Paid,444.0000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588643,C-Commercial and Operations,ADKINS BAKERY LTD,NG3 2NJ,412-Provisions,15.6600000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588643,C-Commercial and Operations,ADKINS BAKERY LTD,NG3 2NJ,412-Provisions,17.3900000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588643,G-C & A - Over 18's,ADKINS BAKERY LTD,NG3 2NJ,412-Provisions,14.9400000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588643,C-Commercial and Operations,ADKINS BAKERY LTD,NG3 2NJ,412-Provisions,38.2800000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588643,C-Commercial and Operations,ADKINS BAKERY LTD,NG3 2NJ,412-Provisions,40.0000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588643,C-Commercial and Operations,ADKINS BAKERY LTD,NG3 2NJ,412-Provisions,18.5400000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588643,C-Commercial and Operations,ADKINS BAKERY LTD,NG3 2NJ,412-Provisions,8.1000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588643,C-Commercial and Operations,ADKINS BAKERY LTD,NG3 2NJ,412-Provisions,24.5700000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588643,C-Commercial and Operations,ADKINS BAKERY LTD,NG3 2NJ,412-Provisions,28.7800000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588643,C-Commercial and Operations,ADKINS BAKERY LTD,NG3 2NJ,412-Provisions,25.4200000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588643,C-Commercial and Operations,ADKINS BAKERY LTD,NG3 2NJ,412-Provisions,29.4500000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588643,C-Commercial and Operations,ADKINS BAKERY LTD,NG3 2NJ,412-Provisions,33.1400000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588643,C-Commercial and Operations,ADKINS BAKERY LTD,NG3 2NJ,412-Provisions,2.7600000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588643,G-C & A - Over 18's,ADKINS BAKERY LTD,NG3 2NJ,412-Provisions,14.9400000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588644,G-C & A - Over 18's,ADVANCED HOUSING & SUPPORT,OX28 6FH,520-Community Care,58.5200000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588644,G-C & A - Over 18's,ADVANCED HOUSING & SUPPORT,OX28 6FH,520-Community Care,117.0400000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588645,P-Royal Centre,ADVERTA,HG3 2XA,457-Publicity/Mrktng/Advertg,2496.0000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588651,G-C & A - Over 18's,APT CARE LTD,LU3 1AX,520-Community Care,320.9500000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588651,G-C & A - Over 18's,APT CARE LTD,LU3 1AX,520-Community Care,1146.2500000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588651,G-C & A - Over 18's,APT CARE LTD,LU3 1AX,520-Community Care,432.3000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588651,G-C & A - Over 18's,APT CARE LTD,LU3 1AX,520-Community Care,825.3000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588651,G-C & A - Over 18's,APT CARE LTD,LU3 1AX,520-Community Care,1283.8000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588651,G-C & A - Over 18's,APT CARE LTD,LU3 1AX,520-Community Care,157.2000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588651,G-C & A - Over 18's,APT CARE LTD,LU3 1AX,520-Community Care,1650.6000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588651,G-C & A - Over 18's,APT CARE LTD,LU3 1AX,520-Community Care,1336.2000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588651,G-C & A - Over 18's,APT CARE LTD,LU3 1AX,520-Community Care,1473.7500000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588651,G-C & A - Over 18's,APT CARE LTD,LU3 1AX,520-Community Care,383.1800000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588651,G-C & A - Over 18's,APT CARE LTD,LU3 1AX,520-Community Care,524.0000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588651,G-C & A - Over 18's,APT CARE LTD,LU3 1AX,520-Community Care,1650.6000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588651,G-C & A - Over 18's,APT CARE LTD,LU3 1AX,520-Community Care,1703.0000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588651,G-C & A - Over 18's,APT CARE LTD,LU3 1AX,520-Community Care,58.9500000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588652,N-Development & Growth - Services,ARCO EAST MIDLANDS,HU1 2SJ,420-Protective Clothing/Unif,2077.8000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588653,Z-Capital,ARCUS CONSULTING LLP,M33 7JC,9ND-Fees,240.0000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588654,C-Commercial and Operations,ARNOLD DAIRIES,NG6 8NE,412-Provisions,59.5000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588654,C-Commercial and Operations,ARNOLD DAIRIES,NG6 8NE,412-Provisions,59.5000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588654,C-Commercial and Operations,ARNOLD DAIRIES,NG6 8NE,412-Provisions,59.5000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588654,F-C & A - Central,ARNOLD DAIRIES,NG6 8NE,475-Other Services,60.7500000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588655,G-C & A - Over 18's,ASHGATE HOME CARE,NG16 4BE,520-Community Care,409.3700000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588655,G-C & A - Over 18's,ASHGATE HOME CARE,NG16 4BE,520-Community Care,1650.6000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588655,G-C & A - Over 18's,ASHGATE HOME CARE,NG16 4BE,520-Community Care,52.4000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588655,G-C & A - Over 18's,ASHGATE HOME CARE,NG16 4BE,520-Community Care,399.3000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588655,G-C & A - Over 18's,ASHGATE HOME CARE,NG16 4BE,520-Community Care,694.3000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588655,G-C & A - Over 18's,ASHGATE HOME CARE,NG16 4BE,520-Community Care,733.6000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588655,G-C & A - Over 18's,ASHGATE HOME CARE,NG16 4BE,520-Community Care,2934.4000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588656,G-C & A - Over 18's,ASPIRATIONS CARE,GL3 1JZ,520-Community Care,1067.2000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588656,G-C & A - Over 18's,ASPIRATIONS CARE,GL3 1JZ,520-Community Care,1957.5000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588656,G-C & A - Over 18's,ASPIRATIONS CARE,GL3 1JZ,520-Community Care,268.4000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588657,G-C & A - Over 18's,AUTISM EAST MIDLANDS,S80 4AJ,520-Community Care,2257.5000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588657,G-C & A - Over 18's,AUTISM EAST MIDLANDS,S80 4AJ,520-Community Care,112.5000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588658,F-C & A - Central,BARNARDOS,IG6 1QG,516-Payts-Ext Foster Parents,3482.1400000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588658,F-C & A - Central,BARNARDOS,IG6 1QG,516-Payts-Ext Foster Parents,3288.6900000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588659,C-Commercial and Operations,BARNETT CONFECTIONERS LTD,NG7 2AE,408-Materials General,119.9400000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588660,N-Development & Growth - Services,BDA SURVEYING LTD,LE2 5AD,200-R & M of Buildings,140.0000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588661,C-Commercial and Operations,BLUEPRINT PROMOTIONAL PRODUCTS LTD,NG10 1JY,457-Publicity/Mrktng/Advertg,620.0000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588661,C-Commercial and Operations,BLUEPRINT PROMOTIONAL PRODUCTS LTD,NG10 1JY,457-Publicity/Mrktng/Advertg,182.5000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588661,C-Commercial and Operations,BLUEPRINT PROMOTIONAL PRODUCTS LTD,NG10 1JY,457-Publicity/Mrktng/Advertg,1200.0000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588662,F-C & A - Central,BOBBERSMILL COMMUNITY CENTRE,NG7 5JU,450-Grants,292.8000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588663,C-Commercial and Operations,BONNINGTON PLASTICS LTD T/A KINGFISHER BONNINGTON,NG8 4GP,408-Materials General,72.0000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588663,C-Commercial and Operations,BONNINGTON PLASTICS LTD T/A KINGFISHER BONNINGTON,NG8 4GP,408-Materials General,65.2800000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588663,C-Commercial and Operations,BONNINGTON PLASTICS LTD T/A KINGFISHER BONNINGTON,NG8 4GP,408-Materials General,1414.9700000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588664,C-Commercial and Operations,BRAKE BROS LTD,TN24 8ZL,412-Provisions,57.3700000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588664,C-Commercial and Operations,BRAKE BROS LTD,TN24 8ZL,412-Provisions,246.7300000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588664,C-Commercial and Operations,BRAKE BROS LTD,TN24 8ZL,412-Provisions,4.5200000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588664,C-Commercial and Operations,BRAKE BROS LTD,TN24 8ZL,412-Provisions,88.3200000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588664,C-Commercial and Operations,BRAKE BROS LTD,TN24 8ZL,412-Provisions,161.4000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588664,C-Commercial and Operations,BRAKE BROS LTD,TN24 8ZL,412-Provisions,158.1100000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588664,C-Commercial and Operations,BRAKE BROS LTD,TN24 8ZL,412-Provisions,58.8800000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588664,C-Commercial and Operations,BRAKE BROS LTD,TN24 8ZL,412-Provisions,75.5200000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588664,C-Commercial and Operations,BRAKE BROS LTD,TN24 8ZL,412-Provisions,255.2200000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588664,C-Commercial and Operations,BRAKE BROS LTD,TN24 8ZL,412-Provisions,360.1000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588664,C-Commercial and Operations,BRAKE BROS LTD,TN24 8ZL,412-Provisions,32.5600000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588664,C-Commercial and Operations,BRAKE BROS LTD,TN24 8ZL,412-Provisions,139.8000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588664,C-Commercial and Operations,BRAKE BROS LTD,TN24 8ZL,412-Provisions,136.5200000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588664,C-Commercial and Operations,BRAKE BROS LTD,TN24 8ZL,412-Provisions,50.8700000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588664,C-Commercial and Operations,BRAKE BROS LTD,TN24 8ZL,412-Provisions,12.8400000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588664,C-Commercial and Operations,BRAKE BROS LTD,TN24 8ZL,412-Provisions,33.6500000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588664,C-Commercial and Operations,BRAKE BROS LTD,TN24 8ZL,412-Provisions,12.8400000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588664,C-Commercial and Operations,BRAKE BROS LTD,TN24 8ZL,412-Provisions,6.2400000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588664,C-Commercial and Operations,BRAKE BROS LTD,TN24 8ZL,412-Provisions,222.1500000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588664,C-Commercial and Operations,BRAKE BROS LTD,TN24 8ZL,412-Provisions,246.5300000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588664,C-Commercial and Operations,BRAKE BROS LTD,TN24 8ZL,412-Provisions,177.3100000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588664,C-Commercial and Operations,BRAKE BROS LTD,TN24 8ZL,412-Provisions,982.9800000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588664,C-Commercial and Operations,BRAKE BROS LTD,TN24 8ZL,412-Provisions,255.6600000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588664,C-Commercial and Operations,BRAKE BROS LTD,TN24 8ZL,412-Provisions,122.3500000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588664,C-Commercial and Operations,BRAKE BROS LTD,TN24 8ZL,412-Provisions,255.6200000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588664,C-Commercial and Operations,BRAKE BROS LTD,TN24 8ZL,412-Provisions,124.8300000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588664,C-Commercial and Operations,BRAKE BROS LTD,TN24 8ZL,412-Provisions,533.1300000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588664,C-Commercial and Operations,BRAKE BROS LTD,TN24 8ZL,412-Provisions,59.8200000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588664,C-Commercial and Operations,BRAKE BROS LTD,TN24 8ZL,412-Provisions,38.3200000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588664,C-Commercial and Operations,BRAKE BROS LTD,TN24 8ZL,412-Provisions,68.6500000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588664,C-Commercial and Operations,BRAKE BROS LTD,TN24 8ZL,412-Provisions,181.5100000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588664,C-Commercial and Operations,BRAKE BROS LTD,TN24 8ZL,412-Provisions,38.7100000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588664,C-Commercial and Operations,BRAKE BROS LTD,TN24 8ZL,412-Provisions,262.5400000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588664,C-Commercial and Operations,BRAKE BROS LTD,TN24 8ZL,412-Provisions,331.5200000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588664,C-Commercial and Operations,BRAKE BROS LTD,TN24 8ZL,412-Provisions,81.6000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588664,C-Commercial and Operations,BRAKE BROS LTD,TN24 8ZL,412-Provisions,7.5200000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588664,C-Commercial and Operations,BRAKE BROS LTD,TN24 8ZL,412-Provisions,51.4500000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588664,C-Commercial and Operations,BRAKE BROS LTD,TN24 8ZL,412-Provisions,77.0400000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588664,C-Commercial and Operations,BRAKE BROS LTD,TN24 8ZL,412-Provisions,353.4700000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588664,C-Commercial and Operations,BRAKE BROS LTD,TN24 8ZL,412-Provisions,348.0800000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588664,C-Commercial and Operations,BRAKE BROS LTD,TN24 8ZL,412-Provisions,38.8100000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588664,C-Commercial and Operations,BRAKE BROS LTD,TN24 8ZL,412-Provisions,-4.8100000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588664,C-Commercial and Operations,BRAKE BROS LTD,TN24 8ZL,412-Provisions,10.3000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588664,C-Commercial and Operations,BRAKE BROS LTD,TN24 8ZL,412-Provisions,-38.3400000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588664,C-Commercial and Operations,BRAKE BROS LTD,TN24 8ZL,412-Provisions,10.1200000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588664,C-Commercial and Operations,BRAKE BROS LTD,TN24 8ZL,412-Provisions,9.8700000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588664,C-Commercial and Operations,BRAKE BROS LTD,TN24 8ZL,412-Provisions,-7.7400000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588664,C-Commercial and Operations,BRAKE BROS LTD,TN24 8ZL,412-Provisions,382.2100000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588664,C-Commercial and Operations,BRAKE BROS LTD,TN24 8ZL,412-Provisions,-6.1900000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588664,C-Commercial and Operations,BRAKE BROS LTD,TN24 8ZL,412-Provisions,-3.8700000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588664,C-Commercial and Operations,BRAKE BROS LTD,TN24 8ZL,412-Provisions,-9.6700000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588664,C-Commercial and Operations,BRAKE BROS LTD,TN24 8ZL,412-Provisions,87.9300000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588664,C-Commercial and Operations,BRAKE BROS LTD,TN24 8ZL,412-Provisions,78.8100000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588664,C-Commercial and Operations,BRAKE BROS LTD,TN24 8ZL,412-Provisions,-7.3200000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588664,C-Commercial and Operations,BRAKE BROS LTD,TN24 8ZL,412-Provisions,-4.5300000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588664,C-Commercial and Operations,BRAKE BROS LTD,TN24 8ZL,412-Provisions,39.0000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588664,C-Commercial and Operations,BRAKE BROS LTD,TN24 8ZL,412-Provisions,9.4800000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588664,C-Commercial and Operations,BRAKE BROS LTD,TN24 8ZL,412-Provisions,-5.3000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588664,G-C & A - Over 18's,BRAKE BROS LTD,TN24 8ZL,412-Provisions,29.6000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588664,C-Commercial and Operations,BRAKE BROS LTD,TN24 8ZL,412-Provisions,171.4500000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588664,C-Commercial and Operations,BRAKE BROS LTD,TN24 8ZL,412-Provisions,19.3000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588664,C-Commercial and Operations,BRAKE BROS LTD,TN24 8ZL,412-Provisions,382.2600000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588664,C-Commercial and Operations,BRAKE BROS LTD,TN24 8ZL,412-Provisions,350.6800000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588664,C-Commercial and Operations,BRAKE BROS LTD,TN24 8ZL,412-Provisions,343.4300000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588664,C-Commercial and Operations,BRAKE BROS LTD,TN24 8ZL,412-Provisions,236.7800000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588664,C-Commercial and Operations,BRAKE BROS LTD,TN24 8ZL,412-Provisions,317.2600000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588664,C-Commercial and Operations,BRAKE BROS LTD,TN24 8ZL,412-Provisions,291.6000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588664,G-C & A - Over 18's,BRAKE BROS LTD,TN24 8ZL,412-Provisions,510.9800000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588664,C-Commercial and Operations,BRAKE BROS LTD,TN24 8ZL,412-Provisions,8.4400000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588664,C-Commercial and Operations,BRAKE BROS LTD,TN24 8ZL,412-Provisions,145.5800000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588664,C-Commercial and Operations,BRAKE BROS LTD,TN24 8ZL,412-Provisions,217.4100000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588664,C-Commercial and Operations,BRAKE BROS LTD,TN24 8ZL,412-Provisions,168.7700000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160104,588664,C-Commercial and Operations,BRAKE BROS LTD,TN24 8ZL,412-Provisions,188.3400000000
